iter	Passed	Remaining
0	133	133368
1	135	67454
2	136	45296
3	137	34192
4	138	27552
5	139	23100
6	140	19922
7	141	17537
8	142	15680
9	143	14195
10	144	12984
11	145	11969
12	148	11299
13	150	10614
14	151	9970
15	152	9398
16	153	8895
17	154	8454
18	155	8053
19	157	7694
20	158	7367
21	159	7069
22	162	6884
23	163	6647
24	164	6421
25	166	6221
26	167	6023
27	168	5837
28	169	5665
29	170	5504
30	171	5354
31	172	5211
32	173	5076
33	175	4996
34	177	4881
35	178	4769
36	179	4669
37	180	4576
38	182	4489
39	183	4400
40	184	4311
41	185	4229
42	186	4149
43	187	4073
44	190	4050
45	192	3982
46	193	3919
47	194	3854
48	195	3795
49	197	3746
50	198	3693
51	199	3636
52	200	3581
53	201	3530
54	202	3481
55	206	3474
56	207	3431
57	208	3386
58	209	3342
59	210	3300
60	211	3257
61	212	3216
62	213	3182
63	215	3149
64	216	3112
65	217	3076
66	220	3065
67	221	3034
68	223	3014
69	224	2983
70	225	2952
71	226	2920
72	227	2890
73	228	2860
74	229	2832
75	230	2808
76	232	2785
77	235	2782
78	236	2757
79	237	2733
80	238	2709
81	240	2692
82	241	2665
83	242	2648
84	243	2625
85	244	2603
86	245	2581
87	247	2562
88	249	2549
89	250	2530
90	251	2511
91	253	2502
92	254	2485
93	257	2477
94	258	2460
95	259	2442
96	260	2425
97	264	2433
98	266	2421
99	267	2405
100	268	2388
101	269	2372
102	270	2356
103	271	2340
104	272	2325
105	274	2312
106	275	2297
107	278	2299
108	279	2286
109	280	2272
110	282	2259
111	283	2251
112	284	2236
113	285	2222
114	287	2209
115	288	2195
116	288	2180
117	289	2167
118	293	2173
119	294	2161
120	295	2150
121	296	2136
122	297	2124
123	299	2114
124	300	2105
125	301	2093
126	302	2080
127	303	2068
128	304	2057
129	306	2054
130	309	2052
131	310	2044
132	311	2033
133	312	2022
134	314	2012
135	315	2001
136	316	1990
137	317	1983
138	318	1973
139	319	1964
140	321	1961
141	323	1952
142	324	1943
143	325	1937
144	327	1929
145	328	1920
146	329	1911
147	330	1902
148	331	1893
149	332	1884
150	333	1877
151	335	1872
152	337	1867
153	338	1859
154	339	1851
155	341	1848
156	342	1840
157	344	1833
158	345	1824
159	346	1816
160	346	1806
161	347	1798
162	348	1790
163	352	1796
164	353	1789
165	354	1782
166	355	1774
167	356	1766
168	357	1759
169	358	1752
170	360	1749
171	361	1742
172	362	1734
173	364	1729
174	366	1728
175	368	1724
176	369	1718
177	370	1712
178	372	1706
179	373	1701
180	375	1699
181	377	1696
182	385	1721
183	388	1720
184	390	1718
185	392	1717
186	396	1723
187	398	1720
188	400	1716
189	402	1714
190	403	1709
191	405	1705
192	406	1700
193	410	1706
194	412	1703
195	414	1698
196	415	1693
197	417	1692
198	420	1691
199	421	1686
200	424	1689
201	427	1687
202	429	1688
203	431	1683
204	432	1678
205	434	1674
206	435	1669
207	437	1667
208	441	1669
209	442	1665
210	444	1661
211	446	1657
212	447	1653
213	448	1647
214	449	1641
215	450	1635
216	451	1629
217	452	1623
218	455	1624
219	457	1620
220	458	1616
221	459	1610
222	460	1604
223	461	1599
224	462	1593
225	463	1589
226	465	1583
227	466	1578
228	467	1572
229	468	1567
230	470	1566
231	472	1563
232	473	1559
233	474	1554
234	475	1548
235	476	1543
236	477	1538
237	478	1533
238	479	1528
239	481	1524
240	482	1519
241	484	1518
242	486	1514
243	487	1510
244	488	1506
245	489	1501
246	490	1496
247	491	1490
248	492	1485
249	493	1481
250	494	1476
251	495	1471
252	496	1467
253	499	1467
254	500	1463
255	501	1458
256	502	1453
257	503	1449
258	504	1444
259	506	1440
260	507	1436
261	508	1431
262	509	1427
263	510	1422
264	511	1417
265	512	1413
266	513	1410
267	514	1406
268	516	1402
269	518	1401
270	519	1397
271	520	1393
272	521	1389
273	522	1385
274	523	1380
275	524	1376
276	525	1372
277	528	1372
278	529	1368
279	530	1364
280	531	1361
281	533	1357
282	534	1353
283	535	1349
284	536	1344
285	537	1340
286	538	1336
287	539	1333
288	540	1329
289	543	1330
290	544	1326
291	545	1322
292	546	1318
293	547	1314
294	548	1310
295	549	1306
296	550	1302
297	551	1299
298	552	1295
299	553	1291
300	554	1287
301	555	1284
302	557	1282
303	558	1279
304	559	1275
305	560	1271
306	561	1268
307	562	1264
308	563	1260
309	564	1257
310	565	1253
311	566	1249
312	567	1246
313	568	1243
314	570	1239
315	572	1238
316	573	1235
317	574	1231
318	575	1228
319	576	1224
320	577	1221
321	578	1218
322	579	1214
323	580	1211
324	581	1208
325	582	1205
326	583	1201
327	586	1202
328	587	1198
329	588	1195
330	589	1192
331	590	1188
332	591	1185
333	592	1182
334	593	1178
335	594	1175
336	595	1172
337	596	1168
338	597	1165
339	598	1162
340	601	1162
341	602	1158
342	603	1156
343	604	1153
344	605	1150
345	606	1146
